"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.08.2003","96,570","96,700","96,850","95,670","4,18K","-0,31%"
"27.07.2003","96,870","95,180","97,720","95,000","5,64K","1,84%"
"20.07.2003","95,120","97,020","97,020","94,830","8,40K","-1,76%"
"13.07.2003","96,820","96,360","97,800","95,990","9,61K","0,72%"
"06.07.2003","96,130","95,420","96,480","94,900","10,68K","1,46%"
"29.06.2003","94,750","95,490","95,700","94,300","5,54K","-0,77%"
"22.06.2003","95,490","94,510","95,680","93,880","13,91K","1,10%"
"15.06.2003","94,450","92,530","94,730","92,370","10,90K","2,38%"
"08.06.2003","92,250","93,550","93,700","92,200","13,32K","-1,40%"
"01.06.2003","93,560","93,810","94,150","92,300","8,48K","0,27%"
"25.05.2003","93,310","92,700","93,990","92,350","4,86K","0,19%"
"18.05.2003","93,130","93,630","94,100","93,010","5,61K","-1,11%"
"11.05.2003","94,180","94,670","95,530","94,150","5,04K","-1,03%"
"04.05.2003","95,160","97,000","97,040","94,890","9,22K","-1,84%"
"27.04.2003","96,940","98,490","99,230","96,470","12,43K","-1,70%"
"20.04.2003","98,620","99,500","100,150","98,360","7,07K","-0,94%"
"13.04.2003","99,560","100,650","100,760","99,020","5,26K","-0,99%"
"06.04.2003","100,560","101,250","102,190","99,850","5,91K","-0,32%"
"30.03.2003","100,880","100,400","101,180","99,170","5,72K","0,53%"
"23.03.2003","100,350","101,890","102,040","100,230","9,01K","-2,05%"
"16.03.2003","102,450","99,320","102,680","99,320","6,26K","2,40%"
"09.03.2003","100,050","97,930","100,420","97,630","12,15K","1,99%"
"02.03.2003","98,100","99,750","99,820","97,620","14,35K","-1,71%"
"23.02.2003","99,810","100,190","100,300","99,350","6,79K","-0,44%"
"16.02.2003","100,250","100,370","100,750","99,530","3,41K","0,00%"
"09.02.2003","100,250","99,770","101,100","99,600","7,63K","0,48%"
"02.02.2003","99,770","100,460","100,700","98,870","7,13K","-0,37%"
"26.01.2003","100,140","99,440","100,470","99,050","6,99K","0,69%"
"19.01.2003","99,450","101,120","101,260","99,410","4,16K","-1,43%"
"12.01.2003","100,890","101,710","102,030","100,620","2,93K","-0,66%"
"05.01.2003","101,560","102,600","103,340","101,550","4,73K","-1,26%"
"29.12.2002","102,860","102,830","103,670","102,260","6,99K","0,08%"
"22.12.2002","102,780","103,620","104,480","102,780","3,34K","-1,17%"
"15.12.2002","104,000","104,330","104,780","103,580","7,54K","0,02%"
"08.12.2002","103,980","105,150","105,560","103,940","12,36K","-1,33%"
"01.12.2002","105,380","106,590","107,380","104,950","12,63K","-1,05%"
"24.11.2002","106,500","106,330","107,100","106,340","4,26K","0,21%"
"17.11.2002","106,280","105,240","106,360","104,850","6,57K","1,04%"
"10.11.2002","105,190","104,800","105,770","104,360","6,08K","0,49%"
"03.11.2002","104,680","106,270","106,620","104,510","9,08K","-1,48%"
"27.10.2002","106,250","108,380","108,480","105,900","16,49K","-1,77%"
"20.10.2002","108,170","108,620","108,740","107,900","4,50K","-0,64%"
"13.10.2002","108,870","107,360","108,950","107,370","5,99K","1,18%"
"06.10.2002","107,600","108,100","108,540","107,070","5,88K","-0,39%"
"29.09.2002","108,020","107,450","108,150","106,860","4,22K","0,06%"
"22.09.2002","107,950","107,970","108,600","107,520","2,40K","-0,14%"
"15.09.2002","108,100","108,400","109,750","107,300","3,64K","0,04%"
"08.09.2002","108,060","106,730","108,250","106,830","5,56K","1,05%"
"01.09.2002","106,940","106,460","106,950","105,530","8,20K","0,07%"
"25.08.2002","106,870","108,250","108,300","106,320","3,36K","-1,17%"
"18.08.2002","108,130","106,760","108,520","106,770","2,26K","1,16%"
"11.08.2002","106,890","107,910","108,200","106,350","2,90K","-1,41%"
"04.08.2002","108,420","107,230","109,250","106,900","4,02K","1,36%"
"28.07.2002","106,960","106,930","108,150","106,550","4,69K","0,07%"
"21.07.2002","106,890","104,640","107,200","104,530","5,54K","2,37%"
"14.07.2002","104,420","105,710","105,840","104,120","4,81K","-1,69%"
"07.07.2002","106,220","106,830","107,300","105,890","3,78K","-1,76%"
"30.06.2002","108,120","106,220","108,330","106,250","3,43K","1,47%"
"23.06.2002","106,550","108,560","109,000","105,970","9,23K","-1,98%"
"16.06.2002","108,700","110,820","111,280","108,510","6,32K","-1,90%"
"09.06.2002","110,800","111,320","111,470","110,300","4,15K","-0,25%"
"02.06.2002","111,080","111,980","112,000","110,620","7,43K","-0,74%"
"26.05.2002","111,910","112,840","112,920","110,950","6,78K","-0,87%"
"19.05.2002","112,890","113,140","113,450","112,300","4,06K","-0,26%"
"12.05.2002","113,180","113,950","115,450","113,050","6,49K","-0,88%"
"05.05.2002","114,180","114,070","115,260","113,650","6,63K","0,27%"
"28.04.2002","113,870","115,150","115,630","113,740","8,95K","-1,18%"
"21.04.2002","115,230","116,780","117,000","115,220","7,82K","-1,17%"
"14.04.2002","116,590","117,750","118,100","116,440","9,33K","-1,21%"
"07.04.2002","118,020","118,160","118,650","117,500","4,93K","-0,03%"
"31.03.2002","118,060","118,930","118,950","117,500","11,46K","-0,84%"
"24.03.2002","119,060","118,540","119,220","118,200","2,36K","0,46%"
"17.03.2002","118,510","117,610","118,680","117,520","3,00K","1,10%"
"10.03.2002","117,220","117,920","118,420","116,950","4,20K","-0,66%"
"03.03.2002","118,000","119,450","119,550","116,800","13,42K","-1,25%"
"24.02.2002","119,490","118,610","120,130","118,570","3,88K","0,72%"
"17.02.2002","118,630","119,190","119,500","118,260","10,92K","-0,12%"
"10.02.2002","118,770","119,220","119,300","118,300","4,96K","-0,36%"
"03.02.2002","119,200","120,030","120,080","118,960","6,21K","-0,65%"
"27.01.2002","119,980","119,950","120,800","119,510","6,24K","-0,17%"
"20.01.2002","120,180","118,110","120,300","117,920","4,16K","1,97%"
"13.01.2002","117,860","116,850","118,450","116,750","5,54K","0,72%"
"06.01.2002","117,020","116,340","117,800","116,340","1,57K","0,23%"
